imagen,objeto_id,R,G,B,H,S,V,area,perimetro,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,longitud_skel,terminaciones,bbox_ratio,extent,solidity
1.png,0,52.8871875,63.819375,76.96125,43.458125,35.8521875,76.97,1032.5,279.7817442417145,1.2629883587238049,1.5599987438712313,0.0046706776640236,0.0030287947671237,1.133356771326539e-05,0.0033268321530135,-1.1509839809790858e-06,115.0,2.0,0.1904761904761904,0.3842592592592592,0.7736351531291611
1_2.png,0,24.41673344017094,25.110777243589745,26.194043803418804,10.31670673076923,5.65758547008547,27.28291933760684,1792.0,356.98484468460083,1.2346257317267,1.490575315494406,0.0112426555147058,0.0095158524331044,9.84048130390611e-05,0.0112321196642183,-1.999776334554025e-06,120.0,2.0,0.9126984126984128,0.1330572808833678,0.8117894736842105
2 _2.png,1,31.2609375,30.31140625,29.247890625,5.0459375,2.902734375,31.48359375,1597.5,341.1442222595215,1.2429016144088267,1.510633128565764,0.0043111862827776,0.0031893248558564,1.1809653708037146e-05,0.0036429729365161,-6.26043403886737e-07,118.0,2.0,1.2857142857142858,0.1402656300615484,0.7959558823529411
2.png,1,31.2609375,30.31140625,29.247890625,5.0459375,2.902734375,31.48359375,1597.5,341.1442222595215,1.2429016144088267,1.510633128565764,0.0043111862827776,0.0031893248558564,1.1809653708037146e-05,0.0036429729365161,-6.26043403886737e-07,118.0,2.0,1.2857142857142858,0.1402656300615484,0.7959558823529411
3.png,1,61.953125,61.86895161290322,61.22883064516129,17.570060483870968,4.618699596774194,63.37172379032258,1011.0,279.5391038656235,1.3216664256798096,1.7112198227156523,0.0190408113372062,0.0163719656093981,0.000289016625251,0.0207526549870229,5.2314561688861845e-06,118.0,2.0,4.379310344827586,0.3098017920173771,0.7709459459459459
3_2.png,0,32.915406586021504,31.62298387096774,30.43136760752688,5.113155241935484,3.3119119623655915,33.069808467741936,1527.0,333.9310188293457,1.2300198871712158,1.479191086885696,0.0020585732227406,0.0010726331342061,1.5629853150489546e-06,0.0010422466759328,-3.12380000826706e-07,119.0,2.0,1.3846153846153846,0.144863073434502,0.8047480620155039
4.png,0,104.63327205882354,107.27757352941175,107.62591911764706,33.43106617647059,13.036305147058824,110.79136029411764,987.5,266.5269112586975,1.3232666224222516,1.7162758286245234,0.0075477647391341,0.005079593363616,3.132148578778094e-05,0.0059001498227959,2.865756982408079e-06,118.0,2.0,0.119047619047619,0.591005291005291,0.7984274481772695
4_2.png,1,96.29481907894736,97.125,96.63486842105264,23.47450657894737,4.4428453947368425,98.16365131578948,911.5,269.012192606926,1.4162073930347825,1.96916074240644,0.0434365351782939,0.0388680877792879,0.0015969270089861,0.0533261494121383,-1.9472253524340457e-05,120.0,2.0,7.470588235294118,0.4821676702176933,0.7581937363437727
5.png,4,12.852774784482758,16.52667025862069,21.23471174568965,14.807785560344827,15.299973060344827,21.245622306034484,1817.5,359.22748613357544,1.2474390758319935,1.522668910499176,0.0089549411564684,0.0065409766137142,4.996278233269466e-05,0.007443230926908,3.1264936645310307e-06,124.0,3.0,1.1043478260869566,0.1337897980143786,0.7917341977309562
5_2.png,0,23.651041666666668,29.85556891025641,37.37840544871795,27.103766025641026,26.889022435897434,37.38681891025641,683.0,196.024385213852,0.8526883109008003,0.6928201175959436,0.0480066666440228,0.0443295366894816,0.0020449114559289,0.0366804262768644,1.7584444869492657e-05,72.0,2.0,2.53125,0.2970679012345679,0.7785642062689585
IMG_6251.png,0,37.63317587209303,119.96111918604652,108.60792151162792,53.12936046511628,106.98492005813954,120.07885174418604,2811.5,295.03657746315,0.3978944502989616,0.1208749311347622,0.0089655001586028,0.0009576640672973,-2.7961373939596576e-06,-0.0003319491492848,-2.365471058148746e-07,107.0,2.0,0.3306451612903225,0.5786782061369001,0.7832800851970181
IMG_6252.png,0,23.10189636752137,62.76282051282051,55.27130074786325,29.84294871794872,56.56383547008547,62.825186965811966,4248.5,375.3452332019806,0.4126678472308472,0.1343545815610941,0.0079134602794679,0.0010795519608274,-8.010761441579727e-07,-0.0002181590646377,3.0519758319385564e-06,140.0,3.0,1.1071428571428572,0.3170362903225806,0.7732701088865472
IMG_6253.png,0,24.201766304347824,64.1234375,56.06399456521739,28.80903532608696,54.76379076086957,64.14816576086956,4168.0,375.102591753006,0.4187716648952431,0.1382751674300951,0.0090346264419022,0.0013386363410704,-3.0925140014318694e-07,-0.0002063934383868,4.645031294635928e-06,139.0,2.0,1.1272727272727272,0.3169354838709677,0.7560335781741868
IMG_6254.png,0,25.412160326086955,64.00842391304347,54.61297554347826,29.557133152173915,52.78491847826087,64.05326086956522,4103.0,371.1025933027268,0.41664731005619,0.136626742176542,0.0088200581601448,0.0012492989991157,-7.165042879665019e-07,-0.0002265989562452,4.084645854066104e-06,140.0,2.0,1.1376146788990826,0.3148860609647825,0.7621776504297995
IMG_6255.png,2,32.65625,142.496826171875,133.2919921875,67.609130859375,141.360107421875,142.939453125,2317.5,281.7817448377609,0.4892004044152842,0.2087541553869767,0.0053597664266819,0.0017207027661763,4.512902450591037e-06,0.0004207524808664,2.6343970410905617e-06,108.0,2.0,4.62962962962963,0.7253333333333334,0.8665486725663717
IMG_6267.png,0,31.797083333333333,36.949375,40.69895833333333,23.483854166666667,14.403229166666666,40.724895833333335,1804.5,329.2619730234146,1.0527415206955073,1.0459954285217958,0.152910652187002,0.128071405778109,0.0179223951695568,0.1309683774862889,4.008777909015422e-05,107.0,2.0,1.7534246575342465,0.2079409246575342,0.6444444444444445
IMG_6268.png,0,45.35361842105263,49.95298793859649,52.64309210526316,22.22519188596491,10.265899122807015,53.01864035087719,1688.0,313.0782080888748,1.0206245385073585,0.9780684287013316,0.1003757420862314,0.0797294645629959,0.0071325037169402,0.0788354439490747,1.2332312866172954e-05,106.0,2.0,2.290909090909091,0.2632034632034632,0.6384319215960798
IMG_6269.png,0,46.95194575471698,51.9517983490566,54.39593160377358,21.93234080188679,11.976857311320757,55.19545990566038,1707.5,313.1787129640579,1.000833682953122,0.9377829862113578,0.1074737537559479,0.0858140938820421,0.0082411743905413,0.0830948393043303,3.3677771089507536e-06,108.0,2.0,2.4423076923076925,0.2793761356753482,0.6327160493827161
IMG_6270.png,0,45.150710227272725,50.83380681818182,53.42982954545455,22.13508522727273,12.473153409090909,54.031107954545455,1686.0,314.2497808933258,1.0198605813376729,0.976717721244348,0.099018856461697,0.0786785020593161,0.006944521951952,0.0777384735966028,1.2667504511130847e-05,111.0,2.0,2.39622641509434,0.2708364284653097,0.6356345885634589
IMG_6271.png,2,29.722507911392405,34.484572784810126,37.97399129746835,21.25168117088608,13.233682753164556,38.13736155063291,1876.0,333.5046135187149,1.0513197528482996,1.0429787822196026,0.1464181924160962,0.1223923998823475,0.0163843237473453,0.1249870683558384,2.889768903264567e-05,108.0,2.0,1.6623376623376624,0.2045454545454545,0.6511627906976745
