imagen,objeto_id,R,G,B,H,S,V,area,perimetro,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,longitud_skel,terminaciones,bbox_ratio,extent,solidity
IMG_6272.png,0,54.03583419421488,155.6692923553719,148.18285123966942,66.13294163223141,123.52815082644628,156.07625258264463,10566.0,395.303603887558,0.1596646698257651,0.00014201797924003257,5.055354454984259e-07,7.292831737734487e-10,-8.670191105980811e-18,-2.8017677878048944e-12,-1.0995949193901756e-17,62.0,2.0,0.95,0.7846491228070176,0.9867622724765582
IMG_6272.png,1,48.685836226851855,150.22432002314815,145.19061053240742,67.31495949074075,124.80772569444444,150.6283275462963,9187.0,364.33304154872894,0.16140466903886264,0.0006985227936092676,1.7687255021025885e-06,1.7525190774071912e-08,2.8792493235032553e-15,4.1756883760588147e-10,1.1091352259951802e-15,41.0,2.0,0.8416666666666667,0.7707920792079208,0.9874220484092591
IMG_6272.png,2,43.170138888888886,158.00427827380952,145.47972470238096,66.61712549603175,135.5399925595238,158.0572296626984,10988.5,393.40411031246185,0.15927771222077095,1.3792686914703698e-06,6.609613384170491e-06,1.6837261234169114e-10,-4.759968297946167e-18,-1.8435298565632612e-13,2.9819542547764026e-18,2.0,2.0,0.9834710743801653,0.7748454753802347,0.9884823247984407
IMG_6272.png,3,38.547505040322584,154.89339717741936,148.138671875,68.30424647177419,138.09954637096774,155.36769153225808,10514.5,389.06096363067627,0.15994444347718625,0.0001334623223827502,2.576021023368349e-05,3.219028333508762e-08,-2.723809127811169e-14,-3.6008693000328873e-10,1.0832581055354225e-14,8.0,2.0,1.043103448275862,0.7609005414648048,0.9856945085371481
IMG_6272.png,4,45.10586599576271,157.3373278601695,149.16796875,67.2645656779661,130.6302966101695,158.47285487288136,10085.5,376.9188277721405,0.15971511856042755,0.00014085187376636712,7.651287620069602e-06,1.1213523669041287e-08,4.673885515005685e-16,-7.335179183263726e-12,-3.2511601518172438e-15,15.0,3.0,0.9327731092436975,0.7757589522295405,0.9897614218101034
IMG_6273.png,0,53.570837710084035,156.4157037815126,149.03335084033614,66.62907037815125,125.39659926470588,156.85248161764707,10546.5,392.7178181409836,0.15987256745891681,0.00020674334585712222,1.1356764896153967e-06,1.9632061199902322e-09,3.2266975585592485e-17,1.5395200004955385e-11,-8.690219273645767e-17,55.0,2.0,0.9338842975206612,0.7835149564835808,0.9862824525870005
IMG_6273.png,1,41.48781988188976,158.17956446850394,145.68048720472441,66.46911909448819,139.16984498031496,158.20343257874015,11263.5,398.23253643512726,0.1592931545535266,3.0827975900987e-06,8.458797953932706e-06,1.6366431898420465e-10,-5.32470792953018e-18,-2.769902795648359e-13,-2.954679001177259e-18,1.0,0.0,0.975609756097561,0.7746612466124662,0.9882454624027658
IMG_6273.png,2,36.335550103305785,156.8800361570248,149.9557722107438,67.14223915289256,143.24883780991735,157.24399535123968,10602.5,391.4041086435318,0.1600116672652071,0.00016276838808360373,2.3490490220786704e-05,3.7804415203058225e-08,-3.328202924197554e-14,-4.725405714372881e-10,1.2707324914646317e-14,68.0,2.0,1.043103448275862,0.7673126246793959,0.9855417276720352
IMG_6273.png,3,42.35705061983471,157.2208806818182,148.49670712809916,67.40386105371901,137.87919679752065,158.28731921487602,10654.0,389.646750330925,0.15969750003049432,0.00011815087550785618,1.3429316581411942e-05,1.9497680334076906e-08,1.819624231978771e-16,-3.2822167879560235e-11,-9.975372754169801e-15,29.0,2.0,0.9426229508196722,0.7712045616535994,0.9888503015902029
IMG_6272.png,0,54.03583419421488,155.6692923553719,148.18285123966942,66.13294163223141,123.52815082644628,156.07625258264463,10566.0,395.303603887558,0.1596646698257651,0.00014201797924003257,5.055354454984259e-07,7.292831737734487e-10,-8.670191105980811e-18,-2.8017677878048944e-12,-1.0995949193901756e-17,62.0,2.0,0.95,0.7846491228070176,0.9867622724765582
